"","transcriptomics_sample_id","subclass"
"1","BT170919.01_E1.50_S25","CARM1P1"
"2","BT170919.01_E1.50_S26","FREM3"
"3","BT170919.01_E1.50_S27","FREM3"
"4","BT170919.01_E1.50_S29","FREM3"
"5","BT170919.01_E1.50_S83","LTK"
"6","BT170919.01_E1.50_S88","COL22A1"
"7","huPSX041217_E1.50_S02","FREM3"
"8","huPSX170327_E1.50_S39","LTK"
"9","PS061517_E1.50_S05","FREM3"
"10","PS061517_E1.50_S41","COL22A1"
"11","PS061517_E1.50_S59","COL22A1"
"12","PS061517_E1.50_S61","CARM1P1"
"13","PS061517_E1.50_S63","FREM3"
"14","SM.GE5OG_S061_E1.50","COL22A1"
"15","SM.GE5OG_S081_E1.50","COL22A1"
"16","SM.GE5PA_S001_E1.50","FREM3"
"17","SM.GE5PA_S002_E1.50","FREM3"
"18","SM.GE5PA_S020_E1.50","FREM3"
"19","SM.GE5PA_S028_E1.50","FREM3"
"20","SM.GE5PA_S031_E1.50","FREM3"
"21","SM.GE5PA_S047_E1.50","FREM3"
"22","SM.GE5PA_S056_E1.50","CARM1P1"
"23","SM.GE5PG_S061_E1.50","COL22A1"
"24","SM.GE5TO_S101_E1.50","LTK"
"25","SM.GE5TO_S104_E1.50","LTK"
"26","SM.GE5TO_S115_E1.50","LTK"
"27","SM.GE5TO_S127_E1.50","GLP2R"
"28","SM.GE5U1_S191_E1.50","FREM3"
"29","SM.GE5U8_S023_E1.50","FREM3"
"30","SM.GE5U8_S026_E1.50","FREM3"
"31","SM.GE5U8_S027_E1.50","GLP2R"
"32","SM.GE5U8_S028_E1.50","LTK"
"33","SM.GE5U8_S030_E1.50","FREM3"
"34","SM.GE5U8_S031_E1.50","FREM3"
"35","SM.GE5U8_S053_E1.50","LTK"
"36","SM.GE5U8_S059_E1.50","GLP2R"
"37","SM.GE5U8_S066_E1.50","LTK"
"38","SM.GE5U8_S069_E1.50","FREM3"
"39","SM.GE5UQ_S135_E1.50","FREM3"
"40","SM.GE5UQ_S171_E1.50","LTK"
"41","SM.GE5UQ_S182_E1.50","LTK"
"42","SM.GE5V9_S111_E1.50","LTK"
"43","SM.GE5V9_S123_E1.50","FREM3"
"44","SM.GE5V9_S127_E1.50","FREM3"
"45","SM.GE5V9_S128_E1.50","GLP2R"
"46","SM.GE5VJ_S040_E1.50","FREM3"
"47","SM.GE5VJ_S047_E1.50","LTK"
"48","SM.GE5VJ_S052_E1.50","COL22A1"
"49","SM.GE5VJ_S068_E1.50","GLP2R"
"50","SM.GE5VJ_S069_E1.50","LTK"
"51","SM.GE5VJ_S074_E1.50","GLP2R"
"52","SM.GE5VJ_S095_E1.50","FREM3"
"53","SM.GE672_S040_E1.50","LTK"
"54","SM.GE672_S091_E1.50","LTK"
"55","SM.GE8WI_S156_E1.50","FREM3"
"56","SM.GE8WI_S159_E1.50","FREM3"
"57","SM.GE8YB_S090_E1.50","COL22A1"
"58","SM.GE8YI_S083_E1.50","FREM3"
"59","SM.GE8YK_S028_E1.50","FREM3"
"60","SM.GE8YK_S032_E1.50","FREM3"
"61","SM.GE8YK_S071_E1.50","GLP2R"
"62","SM.GE8YK_S072_E1.50","FREM3"
"63","SM.GE92A_S003_E1.50","FREM3"
"64","SM.GE92K_S175_E1.50","LTK"
"65","SM.GE92K_S176_E1.50","LTK"
"66","SM.GE92K_S178_E1.50","FREM3"
"67","SM.GE92Y_S023_E1.50","LTK"
"68","SM.GE937_S188_E1.50","LTK"
