"","transcriptomics_sample_id","subclass"
"1","BT170919.01_E1.50_S06","LTK"
"2","BT170919.01_E1.50_S44","LTK"
"3","BT170919.01_E1.50_S45","FREM3"
"4","BT170919.02_E1.50_S44","LTK"
"5","huPSX170327_E1.50_S22","LTK"
"6","RS1SS.161025.01_E12.50_S66","LTK"
"7","SM.GE4QL_S126_E1.50","COL22A1"
"8","SM.GE5OG_S063_E1.50","FREM3"
"9","SM.GE5PA_S006_E1.50","COL22A1"
"10","SM.GE5PA_S160_E1.50","LTK"
"11","SM.GE5TO_S124_E1.50","FREM3"
"12","SM.GE5U1_S183_E1.50","LTK"
"13","SM.GE5U1_S187_E1.50","FREM3"
"14","SM.GE5U1_S188_E1.50","FREM3"
"15","SM.GE5U8_S032_E1.50","LTK"
"16","SM.GE5U8_S052_E1.50","FREM3"
"17","SM.GE5U8_S070_E1.50","FREM3"
"18","SM.GE5U8_S072_E1.50","GLP2R"
"19","SM.GE5UQ_S127_E1.50","LTK"
"20","SM.GE5UQ_S155_E1.50","LTK"
"21","SM.GE5UQ_S176_E1.50","GLP2R"
"22","SM.GE5UQ_S183_E1.50","GLP2R"
"23","SM.GE5VE_S072_E1.50","COL22A1"
"24","SM.GE5VJ_S038_E1.50","LTK"
"25","SM.GE5VJ_S078_E1.50","GLP2R"
"26","SM.GE652_S160_E1.50","LTK"
"27","SM.GE652_S168_E1.50","LTK"
"28","SM.GE672_S037_E1.50","LTK"
"29","SM.GE672_S079_E1.50","LTK"
"30","SM.GE8WI_S143_E1.50","FREM3"
"31","SM.GE8WI_S145_E1.50","FREM3"
"32","SM.GE8WI_S149_E1.50","LTK"
"33","SM.GE8X7_S173_E1.50","FREM3"
"34","SM.GE8X7_S185_E1.50","COL22A1"
"35","SM.GE8XQ_S072_E1.50","LTK"
"36","SM.GE8XQ_S086_E1.50","GLP2R"
"37","SM.GE8YB_S084_E1.50","CARM1P1"
"38","SM.GE8YF_S002_E1.50","FREM3"
"39","SM.GE8YI_S087_E1.50","FREM3"
"40","SM.GE8YK_S029_E1.50","FREM3"
"41","SM.GE8YK_S030_E1.50","FREM3"
"42","SM.GE8YK_S031_E1.50","FREM3"
"43","SM.GE8YK_S036_E1.50","FREM3"
"44","SM.GE8YK_S037_E1.50","FREM3"
"45","SM.GE8YK_S048_E1.50","COL22A1"
"46","SM.GE8ZX_S147_E1.50","FREM3"
"47","SM.GE8ZX_S152_E1.50","LTK"
"48","SM.GE8ZX_S173_E1.50","COL22A1"
"49","SM.GE92A_S004_E1.50","LTK"
"50","SM.GE92A_S022_E1.50","GLP2R"
"51","SM.GE92A_S047_E1.50","FREM3"
"52","SM.GE92K_S171_E1.50","FREM3"
"53","SM.GE92K_S174_E1.50","LTK"
"54","SM.GE92Y_S007_E1.50","CARM1P1"
"55","SM.GE92Y_S018_E1.50","FREM3"
"56","SM.GE92Y_S020_E1.50","FREM3"
"57","SM.GE92Y_S021_E1.50","FREM3"
"58","SM.GE92Y_S033_E1.50","FREM3"
"59","SM.GE92Y_S041_E1.50","GLP2R"
"60","SM.GE92Y_S042_E1.50","COL22A1"
"61","SM.GE93B_S027_E1.50","FREM3"
"62","SM.GE93B_S029_E1.50","FREM3"
"63","SM.GE93J_S020_E1.50","FREM3"
"64","SM.GE93J_S021_E1.50","FREM3"
"65","SM.GE93J_S042_E1.50","LTK"
"66","SM.GE93P_S003_E1.50","FREM3"
"67","SM.GE93S_S152_E1.50","FREM3"
"68","SM.GE93S_S154_E1.50","FREM3"
"69","SM.GE93S_S162_E1.50","LTK"
