"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"1","mIVSCC-MET",601506507,"Vip-IRES-Cre;Ai14-331294.04.01.01","left","VISpm4",331294,"Vip-IRES-Cre;Ai14-331294","M","P55",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.361014513523001,NA,601506492,"PS0810_E1.50_S88","BT035","CS180626100018","Vip Gpc3 Slc18a3","Vip"
"2","mIVSCC-MET",601790961,"Sst-IRES-Cre;Ai14-331663.04.01.01","left","VISpm5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.621829351967728,NA,601790945,"PS0817_E1.50_S19","BT036","CS180626100041","Sst Tac2 Myh4","Sst"
"3","mIVSCC-MET",601803754,"Sst-IRES-Cre;Ai14-331663.04.02.02","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.164239963248684,NA,601803733,"PS0817_E1.50_S25","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"4","mIVSCC-MET",601808698,"Sst-IRES-Cre;Ai14-331663.04.02.03","right","VISp5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.483030289156805,NA,601808619,"PS0817_E1.50_S26","BT036","CS180626100043","Sst Hpse Cbln4","Sst"
"5","mIVSCC-MET",601810307,"Sst-IRES-Cre;Ai14-331663.04.02.04","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.295656295036952,NA,601810292,"PS0817_E1.50_S27","BT036","CS180626100034","Sst Calb2 Necab1","Sst"
"6","mIVSCC-MET",601811091,"Sst-IRES-Cre;Ai14-331663.03.01.01","left","VISp6a",331663,"Sst-IRES-Cre;Ai14-331663","F","P57",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.766594576134962,NA,601811076,"PS0817_E1.50_S28","BT036","CS180626100046","Sst Esm1","Sst"
"7","mIVSCC-MET",602231708,"Sst-IRES-Cre;Ai14-331660.06.02.01","right","VISp5",331660,"Sst-IRES-Cre;Ai14-331660","M","P59",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.589005050716384,NA,602231628,"PS0817_E1.50_S46","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"8","mIVSCC-MET",602535278,"Sst-IRES-Cre;Ai14-331657.04.02.01","right","VISp2/3",331657,"Sst-IRES-Cre;Ai14-331657","M","P60",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.397545508012723,NA,602535253,"PS0817_E1.50_S52","BT036","CS180626100035","Sst Calb2 Pdlim5","Sst"
"9","mIVSCC-MET",604626221,"Vip-IRES-Cre;Ai14-336703.04.02.01","right","VISp4",336703,"Vip-IRES-Cre;Ai14-336703","M","P51",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.459114590371144,NA,604626206,"PS0830_E1.50_S17","BT038","CS180626100018","Vip Gpc3 Slc18a3","Vip"
"10","mIVSCC-MET",604646725,"Vip-IRES-Cre;Ai14-336703.04.02.03","right","VISp2/3",336703,"Vip-IRES-Cre;Ai14-336703","M","P51",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.304442899765556,NA,604646572,"PS0830_E1.50_S19","BT038","CS180626100026","Vip Pygm C1ql1","Vip"
"11","mIVSCC-MET",605060256,"Vip-IRES-Cre;Ai14-336139.04.01.04","left","VISal4",336139,"Vip-IRES-Cre;Ai14-336139","M","P54",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.416261742802756,NA,605059999,"PS0830_E1.50_S24","BT038","CS180626100020","Vip Lmo1 Myl1","Vip"
"12","mIVSCC-MET",605160536,"Vip-IRES-Cre;Ai14-336139.05.02.02","right","VISp2/3",336139,"Vip-IRES-Cre;Ai14-336139","M","P54",NA,NA,"Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.22214742213529,NA,605160446,"PS0830_E1.50_S26","BT038","CS180626100028","Vip Crispld2 Kcne4","Vip"
